corpus,variant,seed,n_params,test_bpc,train_time_s
enwik8,alibi,0,10736640,1.4351,1150.0105810165405
enwik8,alibi,1,10736640,1.4345,1154.203138589859
enwik8,cable,0,10750500,1.4423,1029.268473625183
enwik8,cable,1,10750500,1.4396,958.0210525989532
enwik8,learned,0,12309504,1.5185,1132.7056202888489
enwik8,learned,1,12309504,1.5203,1009.4099626541138
enwik8,nope,0,10736640,1.6285,1191.5511031150818
enwik8,nope,1,10736640,1.6327,1288.4492478370667
enwik8,rope,0,10736640,1.4303,1121.7855913639069
enwik8,rope,1,10736640,1.4248,1129.5275583267212
enwik8,semrf,0,10922179,1.4241,1738.8298287391663
enwik8,semrf,1,10922179,1.425,1656.4575588703156
enwik8,sinusoidal,0,10736640,1.5639,1300.1771824359894
enwik8,sinusoidal,1,10736640,1.5591,1293.7749893665314
enwik8,t5,0,10736832,1.5089,1252.192701101303
enwik8,t5,1,10736832,1.5078,1304.043954372406
