corpus,variant,seed,n_params,eval_len,bpc
enwik8,alibi,0,10736640,256,1.5063
enwik8,alibi,0,10736640,512,1.4351
enwik8,alibi,0,10736640,1024,1.3904
enwik8,alibi,0,10736640,2048,1.3727
enwik8,alibi,0,10736640,4096,1.3654
enwik8,alibi,1,10736640,256,1.5058
enwik8,alibi,1,10736640,512,1.4345
enwik8,alibi,1,10736640,1024,1.3877
enwik8,alibi,1,10736640,2048,1.3609
enwik8,alibi,1,10736640,4096,1.3464
enwik8,cable,0,10750500,256,1.51
enwik8,cable,0,10750500,512,1.4423
enwik8,cable,0,10750500,1024,1.3974
enwik8,cable,0,10750500,2048,1.3692
enwik8,cable,0,10750500,4096,1.3527
enwik8,cable,1,10750500,256,1.5072
enwik8,cable,1,10750500,512,1.4396
enwik8,cable,1,10750500,1024,1.3954
enwik8,cable,1,10750500,2048,1.3678
enwik8,cable,1,10750500,4096,1.352
enwik8,learned,0,12309504,256,1.5907
enwik8,learned,0,12309504,512,1.5185
enwik8,learned,0,12309504,1024,2.9071
enwik8,learned,0,12309504,2048,3.7124
enwik8,learned,0,12309504,4096,4.1409
enwik8,learned,1,12309504,256,1.5912
enwik8,learned,1,12309504,512,1.5203
enwik8,learned,1,12309504,1024,2.9499
enwik8,learned,1,12309504,2048,3.8134
enwik8,learned,1,12309504,4096,4.2742
enwik8,nope,0,10736640,256,1.6967
enwik8,nope,0,10736640,512,1.6285
enwik8,nope,0,10736640,1024,2.2432
enwik8,nope,0,10736640,2048,3.2922
enwik8,nope,0,10736640,4096,3.8796
enwik8,nope,1,10736640,256,1.704
enwik8,nope,1,10736640,512,1.6327
enwik8,nope,1,10736640,1024,2.1719
enwik8,nope,1,10736640,2048,3.3261
enwik8,nope,1,10736640,4096,4.1084
enwik8,rope,0,10736640,256,1.4984
enwik8,rope,0,10736640,512,1.4303
enwik8,rope,0,10736640,1024,2.9017
enwik8,rope,0,10736640,2048,4.121
enwik8,rope,0,10736640,4096,4.6209
enwik8,rope,1,10736640,256,1.4944
enwik8,rope,1,10736640,512,1.4248
enwik8,rope,1,10736640,1024,2.5819
enwik8,rope,1,10736640,2048,3.8997
enwik8,rope,1,10736640,4096,4.4104
enwik8,semrf,0,10922179,256,1.4948
enwik8,semrf,0,10922179,512,1.4241
enwik8,semrf,0,10922179,1024,1.3785
enwik8,semrf,0,10922179,2048,1.3541
enwik8,semrf,0,10922179,4096,1.341
enwik8,semrf,1,10922179,256,1.496
enwik8,semrf,1,10922179,512,1.425
enwik8,semrf,1,10922179,1024,1.3791
enwik8,semrf,1,10922179,2048,1.3534
enwik8,semrf,1,10922179,4096,1.3396
enwik8,sinusoidal,0,10736640,256,1.6346
enwik8,sinusoidal,0,10736640,512,1.5639
enwik8,sinusoidal,0,10736640,1024,3.305
enwik8,sinusoidal,0,10736640,2048,20.1235
enwik8,sinusoidal,0,10736640,4096,35.2613
enwik8,sinusoidal,1,10736640,256,1.6301
enwik8,sinusoidal,1,10736640,512,1.5591
enwik8,sinusoidal,1,10736640,1024,4.1149
enwik8,sinusoidal,1,10736640,2048,22.6404
enwik8,sinusoidal,1,10736640,4096,33.8591
enwik8,t5,0,10736832,256,1.5786
enwik8,t5,0,10736832,512,1.5089
enwik8,t5,0,10736832,1024,1.5177
enwik8,t5,0,10736832,2048,2.255
enwik8,t5,0,10736832,4096,3.2004
enwik8,t5,1,10736832,256,1.5779
enwik8,t5,1,10736832,512,1.5078
enwik8,t5,1,10736832,1024,1.5516
enwik8,t5,1,10736832,2048,2.5294
enwik8,t5,1,10736832,4096,3.4987
